time,open,high,low,close,Volume,Volume MA,Developing Poc,Developing VA High,Developing VA Low,Plot,Up Trend,Down Trend,VWAP,Upper Band,Lower Band,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Basis,Upper,Lower,MA2,MA10,MA20,MA50,MA55,MA200,RSI,Histogram,MACD,Signal,K,D
1365033600,135.22549024,140.59480463,118.63349367,131.00048472,108322.18896494,96635.15003764792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.87856647049998,132.16179692401693,31.595336016983026,NaN,NaN,NaN,NaN,NaN,NaN,88.63235826200894,4.959057232517768,20.353896587540376,15.394839355022608,88.0390057116523,96.0130019038841
1365120000,133.50956294,143.25155174,128.47787317,141.50236179,86141.24240712,99887.79064891343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.57414268449999,140.57487641212757,32.57340895687241,NaN,NaN,NaN,NaN,NaN,NaN,90.1897456071741,5.327032840791404,22.053630406011862,16.72659756522046,78.9550215232555,88.99800907830259
1365206400,139.92689489,144.12093401,135.91898832,140.79752405,29922.29076187,100444.42740188744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.31032481849999,146.86511167192594,35.75553796507405,NaN,NaN,NaN,NaN,NaN,NaN,89.30542245405286,5.080946664053318,23.077780895287106,17.996834231233787,65.44131169722807,77.47844631071194
1365292800,139.86232687,162.48471528,139.15741921,161.17489257,80919.69586225,100533.21646498944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.8437119155,156.90278793168568,36.7846358993143,NaN,NaN,NaN,NaN,NaN,NaN,91.8066754643741,5.796715347264403,25.24272841531429,19.446013068049886,68.94702726926919,71.11445349658425
1365379200,160.54425984,195.23056879,160.33452205,188.88738108,147978.57879562,101225.16596005193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.3636924775,172.91384541734266,33.813539537657334,NaN,NaN,NaN,NaN,NaN,NaN,93.89712818039267,7.532732580093494,28.861928793166754,21.32919621307326,74.34936863931394,69.57923586860373
1365465600,182.9154681,235.27511947,182.9154681,229.4331365,137072.86824794,102656.48491009694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111.630724754,197.85197487815813,25.409474629841867,NaN,NaN,NaN,NaN,NaN,NaN,95.6470493594329,10.619037438426403,34.602993011106264,23.98395557267986,87.86307846534139,77.0531581246415
1365552000,228.76156118,268.6662624,119.74793772,163.98329557,275669.61426008,110497.97431371594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116.345817449,203.1869680657406,29.504666832259417,NaN,NaN,NaN,NaN,NaN,NaN,63.83014353779566,7.601292952106224,33.48557176281264,25.884278810706416,62.98502384831465,75.06582365098998
1365638400,166.16601177,187.41063435,64.8305661,84.88547209,233715.1362727,117762.49940993194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.14352839199998,202.50840732620276,31.7786494577972,NaN,NaN,NaN,NaN,NaN,NaN,44.54490472542852,0.027536497817177263,25.91869943297789,25.89116293516071,33.33333333333334,61.39381188232979
1365724800,82.58019917,119.37650685,56.08896905,111.20590617,676238.22528764,142566.32708113044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119.44248999899999,201.50344768126473,37.38153231673523,NaN,NaN,NaN,NaN,NaN,NaN,49.962516244068894,-3.277327005043052,21.794504178856897,25.07183118389995,3.533844849657836,33.28406734376861
1365811200,112.23390435,121.8481593,88.36397663,94.15737076,301123.76089049,155010.08488992896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120.57794160399999,200.55308469719608,40.60279851080391,NaN,NaN,NaN,NaN,NaN,NaN,46.77495529917928,-6.493521326151146,16.954929526211018,23.448450852362164,4.988480846980761,13.951886343323986
1365897600,92.94891022,105.43553585,89.52922829,92.353079,194909.98030265,159935.74561501696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121.49439201499999,199.71548880747213,43.273295222527864,NaN,NaN,NaN,NaN,NaN,NaN,46.437290769526584,-8.497889236106012,12.826089307229651,21.323978543335663,6.222862207196596,4.915062634611737
1365984000,91.96854187,99.85221134,72.77071188,81.24527387,300327.87808593,171359.72232487844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121.62611690199999,199.5662732891248,43.68596051487519,NaN,NaN,NaN,NaN,NaN,NaN,44.316286270265,-10.21199563068263,8.558984004982378,18.770979635665007,2.68901735753877,4.633453470572049
1366070400,81.2408567,81.71013208,51.29252806,68.15462741,697228.06262194,201582.19891402093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120.593815496,200.7607865484217,40.42684444357832,NaN,NaN,NaN,NaN,NaN,NaN,41.888095226502855,-11.757580538775011,4.074003962196244,15.831584500971255,1.2343813602158449,3.382086974983744
1366156800,68.04801183,96.41113451,64.44479122,91.00938431,415105.41356737,213829.26955682444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120.69406847349998,200.707639658704,40.68049728829595,NaN,NaN,NaN,NaN,NaN,NaN,47.31561714998434,-10.795767757321933,2.336874804318839,13.132642561640772,3.3653444410772573,2.4295810529439574
1366243200,91.28782617,110.4755618,86.69844541,108.02209019,222265.40302855,219903.31942428445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121.6240861285,200.58759610080847,42.660576156191524,NaN,NaN,NaN,NaN,NaN,NaN,50.98542391955543,-8.66100680527307,2.306384055049435,10.967390860322505,9.006158974384313,4.535294925225805
1366329600,107.06558915,132.64670322,105.07655941,117.45150653,335905.44017057,234474.46992662395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122.857689798,200.74368390470073,44.97169569129926,NaN,NaN,NaN,NaN,NaN,NaN,52.94197459794722,-6.367179996353578,3.008415864880533,9.37559586123411,15.86013617051266,9.410546528658076
1366416000,117.567133,127.61826235,114.02270064,124.48737237,96522.38526143,237992.477451636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,124.419580808,201.11164607017633,47.727515545823664,NaN,NaN,NaN,NaN,NaN,NaN,54.40450599276161,-4.232138691637777,4.085422496686888,8.317561188324666,20.25561406941209,15.040636404769685
1366502400,124.27349729,126.80871557,99.64070465,117.32287112,153648.40007576,239937.16519376094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125.05103832249999,201.2896680787611,48.81240856623887,NaN,NaN,NaN,NaN,NaN,NaN,52.611406026368414,-3.205131810837285,4.311146424778059,7.516278235615344,21.263807112498707,19.126519117474484
